"ID";"kraj";"okres";"zriadovatel";"druh_skoly";"jazyk";"typ_skoly";"nazov";"ulica";"obec";"PSC";"celkove_hodnotenie";"maturity";"testovanie9";"matematika";"vyucovaci_jazyk";"cudzie_jazyky";"mimoriadne_vysledky";"nezamestnanost_absolventov";"vysledky_inspekcie";"ucasti_na_sutaziach";"prijimanie_na_VS";"pedagogicky_zbor";"financne_zdroje"
"49";"Bratislavskı";"Bratislava II";"Súkromník";"Obchodná akadémia";"Slovenskı";"Stredná odborná škola";"Súkr. obchodná akadémia";"Dudváska 6";"Bratislava - Podunajské Biskupice";"82107";"4,62380485534668";"7,84501190185547";;"0";"7,54641189575195";"8,22892684936523";"0";"2,97160053253174";;;"6,88930053710938";"9,27555541992188";
"50";"Bratislavskı";"Bratislava II";"Obec";"Základná umelecká škola";"Nesleduje sa";"Základná umelecká škola";"Základná umelecká škola";"Exnárova 6";"Bratislava - Ruinov";"82103";;;;;;;;;;;;;
"51";"Bratislavskı";"Bratislava II";"Krajskı úrad, Okresnı úrad";"Gymnázium";"Slovenskı a Španielsky bil.";"Gymnázium";"Gymnázium F. G. Lorcu";"Hronská 3";"Bratislava - Podunajské Biskupice";"82107";"5,8434196472168";"7,09923858642578";;"4,03782386779785";"6,85213317871094";"8,12437286376953";"0,23792610168457";"6,19275093078613";"7,40349273681641";;"4,19236373901367";"2,79898719787598";"6,56305618286133"
"52";"Bratislavskı";"Bratislava II";"Cirkev, cirkevné spoloèenstvo";"Základná umelecká škola";"Nesleduje sa";"Základná umelecká škola";"Základná umelecká škola";"Chlumeckého 10";"Bratislava - Ruinov";"82103";;;;;;;;;;;;;
"53";"Bratislavskı";"Bratislava II";"Samosprávny kraj";"Gymnázium";"Slovenskı";"Gymnázium";"Gymnázium";"Ivana Horvátha 14";"Bratislava - Ruinov";"82103";"4,96959838867187";"5,86633224487305";;"3,63687133789062";"5,01227226257324";"7,21770629882812";"0,238358879089355";"5,65618057250977";"6,72933120727539";;"6,91643447875977";"2,94618282318115";"6,73736724853516"
"54";"Bratislavskı";"Bratislava II";"Samosprávny kraj";"Stredná odborná škola";"Slovenskı";"Stredná odborná škola";"Stredná odborná škola";"Ivanská cesta 21";"Bratislava - Ruinov";"82375";"4,56199760437012";"3,92160377502441";;"0";"3,44842872619629";"4,48812599182129";"0,924407863616943";"5,80183067321777";;;"3,31434173583984";"1,9589542388916";"6,31400299072266"
"55";"Bratislavskı";"Bratislava II";"Súkromník";"SOŠ umeleckoremeselná";"Slovenskı";"Stredná odborná škola";"Súkr.str.umelecká škola";"Ivanská cesta 21";"Bratislava - Ruinov";"82104";"6,22352027893066";"6,04719963073731";;"0";"5,91275672912598";"6,19147987365723";"4,32762680053711";"6,74375534057617";"7,4081657409668";;"2,86960773468018";"8,96646728515625";"4,00148963928223"
"57";"Bratislavskı";"Bratislava II";"Krajskı úrad, Okresnı úrad";"OU pre sluchovo postihnutıch i";"Slovenskı";"Špeciálna stredná škola";"OU pre iak. so SP";"Koce¾ova 26";"Bratislava - Ruinov";"82108";;;;;;;"0";;;;"6,62530670166016";;
"58";"Bratislavskı";"Bratislava II";"Krajskı úrad, Okresnı úrad";"SOŠ pre sluchovo postihn.int.";"Slovenskı";"Špeciálna stredná škola";"SOŠ pre iak. so SP";"Koce¾ova 26";"Bratislava - Ruinov";"82108";"4,7329761505127";"3,16972427368164";;"0";"3,30322647094727";"2,36871109008789";"2,84129428863525";"6,3619140625";;;"7,49113693237305";"9,14013671875";"0,16247376203537"
"59";"Bratislavskı";"Bratislava II";"Krajskı úrad, Okresnı úrad";"Základná škola";"Slovenskı";"Základná škola";"Základná škola Košická";"Košická";"Bratislava - Ruinov";"82109";"8";;"10";"10";"10";;"0";;;;;"2,07916259765625";
"62";"Bratislavskı";"Bratislava II";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Kulíškova 8";"Bratislava - Ruinov";"82108";"5,19414291381836";;"5,92832412719727";"5,77244453430176";"6,07952728271484";;"0";;;;;"5,72442893981934";"6,51084747314453"
"63";"Bratislavskı";"Bratislava II";"Samosprávny kraj";"Stredná priemyselná škola";"Slovenskı";"Stredná odborná škola";"SPŠ dopravná";"Kvaèalova 20";"Bratislava - Ruinov";"82108";"5,6331657409668";"4,45247077941895";;"0";"4,13675689697266";"4,80706596374512";"5,24203033447266";"6,65594863891602";"8,68495941162109";;"5,65323333740234";"3,15482540130615";"5,18843116760254"
