"ID";"kraj";"okres";"zriadovatel";"druh_skoly";"jazyk";"typ_skoly";"nazov";"ulica";"obec";"PSC";"Mat_SJ";"Mat_M";"Mat_MJ";"Mat_SJaSL";"Mat_AJB1";"Mat_AJB2";"Mat_AJC1";"Mat_NJB1";"Mat_NJB2";"Mat_NJC1";"T9_SJ";"T9_M";"T9_MJ";"T9_SJaSL";"riad_skoly";"podm_VaV";"VV_proces";"insp_9R_SJ";"insp_4R_Pri";"insp_9r_Fyz";"insp_9R_Pri";"ucasti";"Kom_M";"Kom_SJ";"mimo_vysl";"nezam";"nezam_okres";"prijati_VS";"uspesnost_VS";"poc_ucitelov";"IKT";"kval";"rozpocet";"vlastne_zdroje"
"24";"Bratislavskı";"Bratislava I";"Obec";"Základná umelecká škola";"Nesleduje sa";"Základná umelecká škola";"Základná umelecká škola";"Podjavorinskej 9";"Bratislava - Staré Mesto";"81103";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"2,12766";;;;
"25";"Bratislavskı";"Bratislava I";"Súkromník";"Základná umelecká škola";"Nesleduje sa";"Základná umelecká škola";"Súkromná ZUŠ";"Svoradova 2";"Bratislava - Staré Mesto";"81103";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"6,21302";;;;
"26";"Bratislavskı";"Bratislava I";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola s MŠ";"Škarniclova 1";"Bratislava - Staré Mesto";"81101";;;;;;;;;;;"67,7";"67,9";;;"94,1667";"87,3239";"83,636";;;;;;;;;;;;;"6,3981";;;;
"27";"Bratislavskı";"Bratislava I";"Samosprávny kraj";"Konzervatórium";"Slovenskı";"Konzervatórium";"Konzervatórium";"Tolstého 11";"Bratislava - Staré Mesto";"81106";"52,9";;;;"49,8";"57,2";;"37,9";;;;;;;;;;;;;;;;;;;;;;"31,7355";;;;
"28";"Bratislavskı";"Bratislava I";"Súkromník";"Základná škola";"Anglickı";"Základná škola";"S-ZŠ Cambridge (Funiversity)";"Úprkova 3";"Bratislava - Staré Mesto";"81104";;;;;;;;;;;"77,9";"80,4";;;;;;;;;;;;;;;;;;"9,1195";;;;
"29";"Bratislavskı";"Bratislava I";"Cirkev, cirkevné spoloèenstvo";"SOŠ elektrotechnická";"Slovenskı";"Stredná odborná škola";"SOŠ elektr. Frassatiho";"Vazovova 12";"Bratislava - Staré Mesto";"81107";"38";;;;"58,9";"80,8";;;;;;;;;;;;;;;;;;;;;;;;"8,88889";;;;
"30";"Bratislavskı";"Bratislava I";"Samosprávny kraj";"SOŠ geodetická";"Slovenskı";"Stredná odborná škola";"SOŠ geodetická";"Vazovova 14";"Bratislava - Staré Mesto";"81107";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"31";"Bratislavskı";"Bratislava I";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Vazovova 4";"Bratislava - Staré Mesto";"81107";;;;;;;;;;;"68,3";"68,7";;;"88,6792";"79,1667";"72,1445";;;;;;;;;;;;;"6,40496";;;;
"32";"Bratislavskı";"Bratislava I";"Samosprávny kraj";"Gymnázium";"Slovenskı";"Gymnázium";"Gymnázium";"Vazovova 6";"Bratislava - Staré Mesto";"81107";"64,5";"60,6";;;;"68";;;"59";;"78,7";"88,2";;;"96,4706";"97,5";"78,85";;;;;;;;;;;;;"9,3985";;;;
"33";"Bratislavskı";"Bratislava I";"Samosprávny kraj";"Stredná priemyselná škola";"Slovenskı";"Stredná odborná škola";"SPŠ elektrotechnická";"Zochova 9";"Bratislava - Staré Mesto";"81103";"46,9";"37,3";;;"63";"71,8";;"59,2";;;;;;;;;;;;;;;;;;;;;;"10,1744";;;;
"34";"Bratislavskı";"Bratislava II";"Cirkev, cirkevné spoloèenstvo";"Základná škola";"Slovenskı";"Základná škola";"Spojená škola - ZŠ sv. Vincenta de Paul";"Bachova 4";"Bratislava - Ruinov";"82103";;;;;;;;;;;"76,5";"80,7";;;"100";"97,87";"82,77";;;;;;;;;;;;;"6,36943";;;;
"35";"Bratislavskı";"Bratislava II";"Cirkev, cirkevné spoloèenstvo";"Gymnázium";"Slovenskı";"Gymnázium";"Spojená škola - Gymnázium sv. Vincenta de Paul";"Bachova 4";"Bratislava - Ruinov";"82103";"67,6";"44,4";;;;"67,4";;;;;"86,3";"87,4";;;"100";"97,87";"82,77";;;;;;;;;;;;;"9,1954";;;;
"36";"Bratislavskı";"Bratislava II";"Obèianske zdruenia";"Gymnázium";"Slovenskı";"Gymnázium";"1. súkromné gymnázium";"Bajkalská 20";"Bratislava - Ruinov";"82108";"71,5";"77,5";;;;"78,5";;;;;"84,7";"90,1";;;;;;;;;;;;;;;;;;"10,479";;;;
"37";"Bratislavskı";"Bratislava II";"Obèianske zdruenia";"ZŠ pre intelektovo nadané deti";"Slovenskı";"Základná škola";"Súkr.ZŠ - nadané deti";"Bajkalská 20";"Bratislava - Ruinov";"82108";;;;;;;;;;;"83,2";"92,1";;;;;;;;;;;;;;;;;;"7,21154";;;;
"39";"Bratislavskı";"Bratislava II";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Bieloruská 1";"Bratislava - Podunajské Biskupice";"82106";;;;;;;;;;;"46,3";"56,5";;;;;;;;;;;;;;;;;;"7,69231";;;;
"40";"Bratislavskı";"Bratislava II";"Súkromník";"Stredná odborná škola";"Slovenskı";"Stredná odborná škola";"Súkromná SOŠ";"Bieloruská 1";"Bratislava - Podunajské Biskupice";"82106";"50";;;;"90";;;;;;;;;;"87,21";"95,31";"52,76";;;;;;;;;;;;;"8,33333";;;;
"41";"Bratislavskı";"Bratislava II";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Biskupická 21";"Bratislava - Podunajské Biskupice";"82106";;;;;;;;;;;"44,3";"36";;;"73,6264";"77,0833";"68,6258";;;;;;;;;;;;;"8";;;;
"42";"Bratislavskı";"Bratislava II";"Súkromník";"Hotelová akadémia";"Slovenskı";"Stredná odborná škola";"Súkr. hotelová akadémia";"Biskupická 21";"Bratislava - Podunajské Biskupice";"82106";"47";;;;"59,8";"77,9";;;;;;;;;"90,6977";"80";"72,0412";;;;;;;;;;;;;"13,4328";;;;
"43";"Bratislavskı";"Bratislava II";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Borodáèova 2";"Bratislava - Ruinov";"82103";;;;;;;;;;;"51,3";"61,3";;;;;;;;;;;;;;;;;;"9,50226";;;;
"44";"Bratislavskı";"Bratislava II";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Drieòová 16";"Bratislava - Ruinov";"82103";;;;;;;;;;;"66,5";"65,2";;;"96,748";"88,8889";"76,3169";;;;;;;;;;;;;"6,06452";;;;
"45";"Bratislavskı";"Bratislava II";"Samosprávny kraj";"Stredná priemyselná škola";"Slovenskı";"Stredná odborná škola";"SPŠ stavebná";"Drieòová 35";"Bratislava - Ruinov";"82664";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"46";"Bratislavskı";"Bratislava II";"Súkromník";"Gymnázium";"Slovenskı a Anglickı bil.";"Gymnázium";"Súkromné gymnázium";"Dudváska 6";"Bratislava - Podunajské Biskupice";"82412";"47,7";"42,2";;;;;"71,2";;;;;;;;;;;;;;;;;;;;;;;"9,70149";;;;
"47";"Bratislavskı";"Bratislava II";"Súkromník";"Základná škola";"Anglickı";"Základná škola";"Súkromná ZŠ Galileo";"Dudváska 6";"Bratislava - Podunajské Biskupice";"82412";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"9,90099";;;;
"48";"Bratislavskı";"Bratislava II";"Súkromník";"Športové gymnázium";"Slovenskı";"Gymnázium";"Súkr. šport. gymnázium";"Dudváska 6";"Bratislava - Podunajské Biskupice";"82107";"49,6";;;;;"65,3";;;;;"58,9";"45,6";;;"62,3077";"62,6667";"68,3465";;;;;;;;;;;;;"15,1515";;;;
"49";"Bratislavskı";"Bratislava II";"Súkromník";"Obchodná akadémia";"Slovenskı";"Stredná odborná škola";"Súkr. obchodná akadémia";"Dudváska 6";"Bratislava - Podunajské Biskupice";"82107";"50,1";;;;"77,9";;;;;;;;;;;;;;;;;;;;;;;;;"34,4828";;;;
"50";"Bratislavskı";"Bratislava II";"Obec";"Základná umelecká škola";"Nesleduje sa";"Základná umelecká škola";"Základná umelecká škola";"Exnárova 6";"Bratislava - Ruinov";"82103";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"6,8819";;;;
"51";"Bratislavskı";"Bratislava II";"Krajskı úrad, Okresnı úrad";"Gymnázium";"Slovenskı a Španielsky bil.";"Gymnázium";"Gymnázium F. G. Lorcu";"Hronská 3";"Bratislava - Podunajské Biskupice";"82107";"62,4";"51,4";;;"72,5";"68";;;;;"77,3";"76,1";;;"92,3077";"89,3333";"72,6098";;;;;;;;;;;;;"7,95455";;;;
"52";"Bratislavskı";"Bratislava II";"Cirkev, cirkevné spoloèenstvo";"Základná umelecká škola";"Nesleduje sa";"Základná umelecká škola";"Základná umelecká škola";"Chlumeckého 10";"Bratislava - Ruinov";"82103";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"5,43383";;;;
"53";"Bratislavskı";"Bratislava II";"Samosprávny kraj";"Gymnázium";"Slovenskı";"Gymnázium";"Gymnázium";"Ivana Horvátha 14";"Bratislava - Ruinov";"82103";"56,5";"44,1";;;;"58,8";;;"46,7";;;;;;"70,5882";"95";"74,14";;;;;;;;;;;;;"9,52381";;;;
"54";"Bratislavskı";"Bratislava II";"Samosprávny kraj";"Stredná odborná škola";"Slovenskı";"Stredná odborná škola";"Stredná odborná škola";"Ivanská cesta 21";"Bratislava - Ruinov";"82375";"33,6";;;;"47,5";;;"20,6";;;;;;;;;;;;;;;;;;;;;;"7,94045";;;;
"55";"Bratislavskı";"Bratislava II";"Súkromník";"SOŠ umeleckoremeselná";"Slovenskı";"Stredná odborná škola";"Súkr.str.umelecká škola";"Ivanská cesta 21";"Bratislava - Ruinov";"82104";"42,4";;;;"49,9";"66,1";;;;;;;;;"93,7";"68,49";"74,97";;;;;;;;;;;;;"22,0513";;;;
"57";"Bratislavskı";"Bratislava II";"Krajskı úrad, Okresnı úrad";"OU pre sluchovo postihnutıch i";"Slovenskı";"Špeciálna stredná škola";"OU pre iak. so SP";"Koce¾ova 26";"Bratislava - Ruinov";"82108";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"22,2222";;;;
"58";"Bratislavskı";"Bratislava II";"Krajskı úrad, Okresnı úrad";"SOŠ pre sluchovo postihn.int.";"Slovenskı";"Špeciálna stredná škola";"SOŠ pre iak. so SP";"Koce¾ova 26";"Bratislava - Ruinov";"82108";"40";;;;"47,5";;;;;;;;;;;;;;;;;;;;;;;;;"36,0656";;;;
"59";"Bratislavskı";"Bratislava II";"Krajskı úrad, Okresnı úrad";"Základná škola";"Slovenskı";"Základná škola";"Základná škola Košická";"Košická";"Bratislava - Ruinov";"82109";;;;;;;;;;;"84,6";"91,7";;;;;;;;;;;;;;;;;;"5,9633";;;;
"62";"Bratislavskı";"Bratislava II";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Kulíškova 8";"Bratislava - Ruinov";"82108";;;;;;;;;;;"56,4";"50,4";;;;;;;;;;;;;;;;;;"9,6463";;;;
"63";"Bratislavskı";"Bratislava II";"Samosprávny kraj";"Stredná priemyselná škola";"Slovenskı";"Stredná odborná škola";"SPŠ dopravná";"Kvaèalova 20";"Bratislava - Ruinov";"82108";"41,2";;;;"46,4";;;"40";;;;;;;"79,3103";"94,8276";;;;;;;;;;;;;;"11,2069";;;;
"64";"Bratislavskı";"Bratislava II";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Medzilaborecká 11";"Bratislava - Ruinov";"82101";;;;;;;;;;;"60,7";"53,6";;;;;;;;;;;;;;;;;;"6,26223";;;;
"65";"Bratislavskı";"Bratislava II";"Krajskı úrad, Okresnı úrad";"Gymnázium";"Slovenskı a Francúzsky bil.";"Gymnázium";"Spojená škola-Gymnázium";"Metodova 2";"Bratislava - Ruinov";"82108";"68,4";"57,5";;;;"72,5";;;;;"88,8";"93,3";;;"89,53";"95";"70,68";;;;;;;;;;;;;"8,64811";;;;
"66";"Bratislavskı";"Bratislava II";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Mierová 46";"Bratislava - Ruinov";"82105";;;;;;;;;;;"70,8";"75,9";;;;;;;;;;;;;;;;;;"6,35838";;;;
"67";"Bratislavskı";"Bratislava II";"Súkromník";"Základná umelecká škola";"Nesleduje sa";"Základná umelecká škola";"Súkromná ZUŠ";"Mierová 46";"Bratislava - Ruinov";"82105";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"10,0671";;;;
"68";"Bratislavskı";"Bratislava II";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Nevädzová 2";"Bratislava - Ruinov";"82101";;;;;;;;;;;"64,4";"63";;;"94,55";"97,78";"81,09";;;;;;;;;;;;;"6,21469";;;;
"69";"Bratislavskı";"Bratislava II";"Samosprávny kraj";"Obchodná akadémia";"Slovenskı";"Stredná odborná škola";"Obchodná akadémia";"Nevädzová 3";"Bratislava - Ruinov";"82007";"51,4";"28,3";;;"64,3";"58,3";;;;;;;;;;;;;;;;;;;;;;;;"9,06433";;;;
"71";"Bratislavskı";"Bratislava II";"Krajskı úrad, Okresnı úrad";"Základná škola";"Slovenskı";"Základná škola";"Základná škola Košická (PYP)";"Novohradská 3";"Bratislava - Ruinov";"82109";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"7,27273";;;;
"72";"Bratislavskı";"Bratislava II";"Krajskı úrad, Okresnı úrad";"Gymnázium";"Slovenskı a Anglickı bil.";"Gymnázium";"Gymnázium Jura Hronca";"Novohradská 3";"Bratislava - Ruinov";"82109";"73";"66,9";;;;"75,4";"79,2";;;;"88,2";"94,8";;;;;;;;;;;;;;;;;;"8,71508";;;;
"73";"Bratislavskı";"Bratislava II";"Samosprávny kraj";"Športové gymnázium";"Slovenskı";"Športové gymnázium";"Športové gymnázium";"Ostredková 10";"Bratislava - Ruinov";"82102";"50,7";"33,3";;;;"51,4";;;;;"58,7";"50,5";;;;;;;;;;;;;;;;;;"7,42857";;;;
"74";"Bratislavskı";"Bratislava II";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Ostredková 14";"Bratislava - Ruinov";"82102";;;;;;;;;;;"72,4";"73";;;;;;;;;;;;;;;;;;"6,32258";;;;
"75";"Bratislavskı";"Bratislava II";"Samosprávny kraj";"SOŠ drevárska";"Slovenskı";"Stredná odborná škola";"SOŠ drevárska";"Pavlovièova 3";"Bratislava - Ruinov";"82104";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"76";"Bratislavskı";"Bratislava II";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Podzáhradná 51";"Bratislava - Podunajské Biskupice";"82107";;;;;;;;;;;"58,9";"59,4";;;;;;;;;;;;;;;;;;"6,02606";;;;
"77";"Bratislavskı";"Bratislava II";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Rajèianska 3";"Bratislava - Vrakuòa";"82107";;;;;;;;;;;"66,9";"71,9";;;"97,6562";"89,1892";"84,5446";;;;;;;;;;;;;"6,31579";;;;
"78";"Bratislavskı";"Bratislava II";"Súkromník";"Stredná odborná škola";"Slovenskı";"Stredná odborná škola";"SOŠ";"Ruinovská 1";"Bratislava - Ruinov";"82601";"36,5";;;;"45,2";"48,3";;"25,3";;;;;;;;;;;;;;;;;;;;;;"10,355";;;;
"79";"Bratislavskı";"Bratislava II";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Ruová dolina 29";"Bratislava - Ruinov";"82109";;;;;;;;;;;"67,3";"61,4";;;"76,14";"81,63";"75,82";;;;;;;;;;;;;"6,28931";;;;
"80";"Bratislavskı";"Bratislava II";"Obèianske zdruenia";"ZŠ-roè.II. stupeò";"Slovenskı";"Základná škola";"Súkromná základná škola";"Ruová dolina 29";"Bratislava - Ruinov";"82109";;;;;;;;;;;"59,3";"50";;;;;;;;;;;;;;;;;;"10,4839";;;;
"81";"Bratislavskı";"Bratislava II";"Súkromník";"Základná umelecká škola";"Nesleduje sa";"Základná umelecká škola";"Súkromná ZUŠ";"Ruová dolina 29";"Bratislava - Ruinov";"82109";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"5,48961";;;;
"82";"Bratislavskı";"Bratislava II";"Obèianske zdruenia";"Stredná pedagogická škola";"Slovenskı";"Stredná odborná škola";"Súkr. ped. a soc. akad";"Ruová Dolina 29";"Bratislava - Ruinov";"82109";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"35,7143";;;;
"83";"Bratislavskı";"Bratislava II";"Samosprávny kraj";"SOŠ obchodu a sluieb";"Slovenskı";"Stredná odborná škola";"SOŠ obch.a sluieb";"Sklenárova 1";"Bratislava - Ruinov";"82109";"36,6";;;;"44,9";;;"26,7";;;;;;;"89,7638";"80,8219";"71,71";;;;;;;;;;;;;"10,6667";;;;
"84";"Bratislavskı";"Bratislava II";"Obec";"Základná umelecká škola";"Nesleduje sa";"Základná umelecká škola";"Základná umelecká škola";"Sklenárova 5";"Bratislava - Ruinov";"82109";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"6,2201";;;;
"85";"Bratislavskı";"Bratislava II";"Samosprávny kraj";"Stredná umelecká škola";"Slovenskı";"Stredná odborná škola";"SUŠ scénic.vytvarníctva";"Sklenárova 7";"Bratislava - Ruinov";"82489";"42,5";;;;"51,7";"63,8";;"53,9";;;;;;;;;;;;;;;;;;;;;;"17,6471";;;;
"86";"Bratislavskı";"Bratislava II";"Samosprávny kraj";"SOŠ dopravná";"Slovenskı";"Stredná odborná škola";"SOŠ dopravná";"Kvaèalova 20";"Bratislava - Ruinov";"82108";"36,4";;;;"55,7";"75,8";;"34,2";;;;;;;"50,57";"89,47";"64,85";;;;;;;;;;;;;"10,8247";;;;
"89";"Bratislavskı";"Bratislava II";"Samosprávny kraj";"Stredná odborná škola";"Slovenskı";"Stredná odborná škola";"Stred. odborná škola";"Svätoplukova 2";"Bratislava - Ruinov";"82108";"33,4";;;;"41,6";;;"26,6";;;;;;;;;;;;;;;;;;;;;;"8,81671";;;;
"90";"Bratislavskı";"Bratislava II";"Samosprávny kraj";"Gymnázium";"Slovenskı";"Gymnázium";"Spojená škola-Gymnázium";"Tokajícka 24";"Bratislava - Ruinov";"82103";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"12,2744";;;;
"91";"Bratislavskı";"Bratislava II";"Samosprávny kraj";"Gymnázium";"Slovenskı";"Gymnázium";"Gymnázium L.Novomeského";"Tomášikova 2";"Bratislava - Ruinov";"82729";"63,5";"64,1";;;;"65,2";;;"47,1";;"84,2";"90,8";;;"78,3505";"97,5";"72,7528";;;;;;;;;;;;;"7,67974";;;;
"92";"Bratislavskı";"Bratislava II";"Obec";"Základná škola";"Maïarskı";"Základná škola";"Základná škola s MŠ";"Vetvárska 7";"Bratislava - Podunajské Biskupice";"82106";;;;;;;;;;;;"50";"63,8";"75,4";;;;;;;;;;;;;;;;"12,2642";;;;
"93";"Bratislavskı";"Bratislava II";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"Vrútocká 58";"Bratislava - Ruinov";"82104";;;;;;;;;;;"61,7";"60,2";;;;;;;;;;;;;;;;;;"7,34463";;;;
"94";"Bratislavskı";"Bratislava II";"Samosprávny kraj";"Stredná zdravotnícka škola";"Slovenskı";"Stredná odborná škola";"SZŠ";"Záhradnícka 44";"Bratislava - Ruinov";"82108";"52,4";;;;"60,9";"76,7";;"52,2";;;;;;;;;;;;;;;;;;;;;;"34,375";;;;
"95";"Bratislavskı";"Bratislava II";"Obec";"Základná škola";"Slovenskı";"Základná škola";"Základná škola";"eleznièná 14";"Bratislava - Vrakuòa";"82107";;;;;;;;;;;"58";"59,5";;;"96,748";"90,2778";"82,4818";;;;;;;;;;;;;"5,95611";;;;
"96";"Bratislavskı";"Bratislava II";"Súkromník";"Základná umelecká škola";"Nesleduje sa";"Základná umelecká škola";"Súkromná ZUŠ";"eleznièná 14";"Bratislava - Vrakuòa";"82107";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"5,69106";;;;
