;Stav trvale bıvajúceho obyvate¾stva k 30.6.(1.7.) (Osoba);77771
Okres Humenné;Hustota obyvate¾stva (Osoba na kilometer štvorcovı);82,18
;Stav trvale bıvajúceho obyvate¾stva k 30.6.(1.7.) (Osoba);61985,5
Okres Kemarok;Hustota obyvate¾stva (Osoba na kilometer štvorcovı);119,44
;Stav trvale bıvajúceho obyvate¾stva k 30.6.(1.7.) (Osoba);75235
Okres Levoèa;Hustota obyvate¾stva (Osoba na kilometer štvorcovı);80,05
;Stav trvale bıvajúceho obyvate¾stva k 30.6.(1.7.) (Osoba);33702
Okres Medzilaborce;Hustota obyvate¾stva (Osoba na kilometer štvorcovı);27,72
;Stav trvale bıvajúceho obyvate¾stva k 30.6.(1.7.) (Osoba);11841,5
Okres Poprad;Hustota obyvate¾stva (Osoba na kilometer štvorcovı);94,97
;Stav trvale bıvajúceho obyvate¾stva k 30.6.(1.7.) (Osoba);104913,5
Okres Prešov;Hustota obyvate¾stva (Osoba na kilometer štvorcovı);188,03
;Stav trvale bıvajúceho obyvate¾stva k 30.6.(1.7.) (Osoba);175609,5
Okres Sabinov;Hustota obyvate¾stva (Osoba na kilometer štvorcovı);110,95
;Stav trvale bıvajúceho obyvate¾stva k 30.6.(1.7.) (Osoba);60518,5
Okres Snina;Hustota obyvate¾stva (Osoba na kilometer štvorcovı);45,03
;Stav trvale bıvajúceho obyvate¾stva k 30.6.(1.7.) (Osoba);36240,5
Okres Spišská Nová Ves;Hustota obyvate¾stva (Osoba na kilometer štvorcovı);169,82
;Stav trvale bıvajúceho obyvate¾stva k 30.6.(1.7.) (Osoba);99765
Okres Trebišov;Hustota obyvate¾stva (Osoba na kilometer štvorcovı);98,14
;Stav trvale bıvajúceho obyvate¾stva k 30.6.(1.7.) (Osoba);105353
Okres Gelnica;Hustota obyvate¾stva (Osoba na kilometer štvorcovı);54,54
;Stav trvale bıvajúceho obyvate¾stva k 30.6.(1.7.) (Osoba);31868
Okres Košice I;Hustota obyvate¾stva (Osoba na kilometer štvorcovı);790,01
;Stav trvale bıvajúceho obyvate¾stva k 30.6.(1.7.) (Osoba);67513
Okres Košice II;Hustota obyvate¾stva (Osoba na kilometer štvorcovı);1021,66
;Stav trvale bıvajúceho obyvate¾stva k 30.6.(1.7.) (Osoba);82287,5
Okres Košice III;Hustota obyvate¾stva (Osoba na kilometer štvorcovı);1707,99
;Stav trvale bıvajúceho obyvate¾stva k 30.6.(1.7.) (Osoba);28748,5
Okres Košice IV;Hustota obyvate¾stva (Osoba na kilometer štvorcovı);987,28
;Stav trvale bıvajúceho obyvate¾stva k 30.6.(1.7.) (Osoba);60126
Okres Košice - okolie;Hustota obyvate¾stva (Osoba na kilometer štvorcovı);84,42
;Stav trvale bıvajúceho obyvate¾stva k 30.6.(1.7.) (Osoba);129543,5
Okres Michalovce;Hustota obyvate¾stva (Osoba na kilometer štvorcovı);108,62
;Stav trvale bıvajúceho obyvate¾stva k 30.6.(1.7.) (Osoba);110705
Okres Roòava;Hustota obyvate¾stva (Osoba na kilometer štvorcovı);53,02
;Stav trvale bıvajúceho obyvate¾stva k 30.6.(1.7.) (Osoba);62208,5
Okres Sobrance;Hustota obyvate¾stva (Osoba na kilometer štvorcovı);42,4
;Stav trvale bıvajúceho obyvate¾stva k 30.6.(1.7.) (Osoba);22819
